CodeModule,Module,SousModule1,SousModule2
GINF31,Programmation orientée objet & XML, Programmation orientée objet : JAVA,XML & Applications
GINF32,Qualite & approche processus,Maitrise et optimisation des processus   ,Cycle de Vie Logiciel et Methodes agiles
GINF33,Modrlisation orientee objet et IHM,Modelisation orientee objet UML ,Interaction Homme Machine
GINF34,Bases de données avancées 1,Optimisation et Qualité de base de données,Administration et Securite des bases de donnees
GINF35,Administration et programmation système,Administration systèmes,Programmation systemes    
GINF36,Langues et communication 2,"Espagnol 2, Allemand",Techniques de communication
GINF41,Technologies distribuées,Introduction A J2EE,Programmation en c#
GINF42,Base de données avancées 2 & Cloud   ,Gestion des donnees complexes ,Gestion des donnees distribuees
GINF43,Traitement d'image,Traitement d'image,Vision numerique
GINF44,Programmation declarative et TAV,Programmation Declarative,Technique Algorithmique Avancee
GINF45,Securite & cryptographique,Securite des systemes,Cryptographique 
GINF46,Management de l'entreprise 2,Managements de Projet ,Projets Collectifs &Stages
